name,lng,lat,address,isConnected,dcNum,acNum,s_idx,chg_points
比亚迪民乐的士接驳充电站,114.04279528388584,22.59882526648226,深圳市龙华新区民乐地铁站旁边,True,58,0,302,58
龙城大运充电站,114.21923880440092,22.70085654888816,广东省深圳市龙岗区龙飞大道,False,0,84,299,84
罗湖供电局停车场充电站,114.1243045693557,22.567117328159696,深圳市罗湖区田贝三路1号罗湖供电局停车场,True,16,0,288,16
航盛大厦充电站,113.9487938620378,22.538730871414504,深圳市南山区粤海街道航盛科技大厦负三楼停车场,True,3,0,285,3
罗湖供电南苑充电站,114.10753767558349,22.543902828659327,深圳市罗湖区宝安南路1502,False,0,8,281,8
宝安西乡嘉华花园充电站,113.88400426332883,22.58601396963871,深圳市宝安区流塘路30号,True,6,0,279,6
罗湖怡泰中心充电站,114.122982640167,22.556603704334226,深圳市罗湖区文锦中路2090号怡泰中心地下停车场负二层,False,0,12,272,12
比克大厦充电站,113.92806878613877,22.544351898494604,深圳市南山区比克科技大厦,True,12,0,271,12
龙东充电站,114.28296444123433,22.722991708175044,深圳市龙岗区龙岗街道金井路31号龙东公交首末站(龙东社区工作站旁),True,33,0,261,33
华侨大厦充电站,114.11098835041048,22.53285980567029,深圳市罗湖区和平路1043号,True,3,0,254,3
龙岗满京华充电站,114.27075066033252,22.730826319166507,广东省深圳市龙岗区龙岗路13-6,False,0,45,254,45
宜停车充电站,113.99987149352418,22.53702304625285,深圳市福田区竹子林紫竹六道竹盛花园南门口,True,4,0,252,4
宝晖大厦充电站,113.89104344857992,22.56699486031721,深圳市宝安区新安街道兴华路69号宝晖商务酒店,True,26,0,248,26
捷顺大厦充电站,114.0608203902017,22.57073422741109,深圳市福田区梅林路17号,True,8,0,239,8
大宝路安恒公司充电站,113.90691410486237,22.58323273923505,深圳市宝安区大宝路112号公交客运停车场,True,24,0,234,24
彩田北充电站,114.05480956324682,22.56360127689411,深圳市福田区宏威路彩田北地铁站A1出口停车场,True,19,0,232,19
现代演艺中心充电站,114.06567327774862,22.55083353645391,深圳市福田区华富街道红荔西路5003-1号现代苑(红荔路),True,8,0,230,8
万马爱充麦德龙站,114.10380205758916,22.571779491078303,广东省深圳市罗湖区宝安北路4008号,True,22,0,229,22
比亚迪体育休闲公园充电站,114.14339453591582,22.556831102421143,深圳东湖二路体育休闲公园停车场,True,97,0,221,97
罗湖深圳供电局人民桥充电站,114.10778091860035,22.545291885179708,罗湖区深南东路4020号深圳供电局地面停车场,True,8,0,218,8
宝安客运中心公交充电站,113.87879254449348,22.593045708023308,深圳市宝安区西乡大道32号宝安客运中心汽车站,True,16,0,208,16
罗湖龙屋小区充电站,114.12070093490158,22.56181569173621,深圳市罗湖区翠竹街道办事处田贝一路62号龙屋小区地面停车场,True,6,0,207,6
横岗信义充电站,114.2063668725266,22.65210513369241,深圳市龙岗区横岗街道信义御城豪园小区,True,28,0,205,28
坂田佳兆业充电站,114.07132647631268,22.661240311749538,深圳市龙岗区坂田6号路东侧佳兆业中央广场三期公交首末站,True,50,0,200,50
中国经贸大厦充电站,114.00403102933429,22.536904490900017,深圳市福田区紫竹七道18号中国经贸大厦地上停车场,True,1,0,190,1
龙岗南湾街道南岭村停车场充电站,114.14715334742095,22.61411767307249,深圳市龙岗区南湾街道南岭村停车场旁,False,0,35,182,35
